Country/Institution,indicators,data_source
Kolombia,Indikator KTI,Data telepon seluler
Belanda,Statistik mobilitas,Data lalu lintas
Belanda,Kepercayaan konsumen,Media sosial
Belanda,Populasi siang hari,Data telepon seluler
Belanda,Statistik pariwisata,Data telepon seluler
Australia,Luas panen,Citra satelit
Australia,Tutupan lahan,Citra satelit
Australia,IHK,Data scan
Kanada,Konsumsi listrik,Perusahaan penyedia listrik
Kanada,Deteksi fenomenan dan sentimen,Berita online
Kanada,Luas panen,Citra satelit
Kanada,Statistik perdagangan,Data teks
Kanada,Penjualan eceran,Data scan
Tiongkok,Indikator demografi,Data telepon seluler
Tiongkok,IHK,Scrapped e-commerce data
Tiongkok,IHK,Data scan
Tiongkok,IHK,Data register
Tiongkok,IHP,Scrapped e-commerce data
Tiongkok,Statistik perdagangan,Data UnionPay
Tiongkok,Statistik perdagangan,Scrapped e-commerce data
Tiongkok,Statistik industri,Data IoT
Tiongkok,Peramalan ekonomi,Data teks
Tiongkok,Pendapatan ruta,Data register
Tiongkok,Luas panen,Citra satelit
UNICEF,Indikator kesejahteraan anak,Berita online
UNICEF,Indikator kesejahteraan anak,Citra satelit
UNICEF,Indikator kesejahteraan anak,Media sosial
UNICEF,Indikator kesejahteraan anak,Pencarian Google
UNICEF,Statistik mobilitas,Data telepon seluler
UNICEF,Kesiapan bencana,Citra satelit
UNICEF,Kesiapan bencana,Berita online
UNICEF,Kesiapan bencana,Data telepon seluler
Chili,Ketimpangan gender dan mobilitas perkotaan ,Data telepon seluler
Chili,Ketimpangan gender dan mobilitas perkotaan ,OpenStreetMAp
Estonia,Statistik mobilitas,Mobile positioning data
Inggris ,Alamat rumah,Zoopla data
Inggris ,Estimasi populasi,Data telepon seluler
Inggris ,Konsumsi listrik,Perusahaan penyedia listrik
Inggris ,Volatilitas harga,Scrapped e-commerce data
Inggris ,Lalu lintas,Oystercard data
Inggris ,Statistik mobilitas,Geolocated tweets data
Inggris ,Statistik lapangan kerja,Scrapped data
Korea Selatan,Estimasi populasi,Data register
Uganda,Pengeluaran per kapita harian,Citra satelit
Tanzania,Pengeluaran per kapita harian,Citra satelit
Spanyol,Statistik pariwisata,Segitur database
Finlandia,Angka pengangguran,Google Trends
Italia,Angka pengangguran,Google Trends
Sierra Leone,Penularan ebola,Data jaringan ponsel
Liberia,Penularan ebola,Data jaringan ponsel
Guinea,Penularan ebola,Data jaringan ponsel
Jepang,Manajemen bencana,Data telepon seluler
Jepang,Manajemen bencana,Sensor
Jepang,Manajemen bencana,Citra satelit
Indonesia,Statistik pariwisata,Mobile positioning data
Indonesia,Statistik pariwisata,Scrapped data
Swiss,IHK,Data scan